m, n, k, edeges, avg-degree, clustering_coeff, diameter, avg-pathlength
160,500,20,38543,77.086,0.526626467704773,4.0,2.230411844096356
160,1000,20,80727,80.727,0.520005464553833,5.0,2.4692192828794024
160,1000,20,80700,80.7,0.5154873728752136,5.0,2.4900871544811594
160,1000,20,80721,80.721,0.5085617899894714,5.0,2.4709587328550087
160,2000,20,157841,78.9205,0.523313045501709,6.0,2.734418820003644
160,2000,20,161436,80.718,0.5266638994216919,7.0,2.7270358586587022
160,2000,20,160932,80.466,0.5078096985816956,7.0,2.754278795482146
160,3000,20,235115,78.37166666666667,0.5363344550132751,7.0,2.861003273572739
160,3000,20,240743,80.24766666666666,0.5151702165603638,6.0,2.846377533263137
160,3000,20,233859,77.953,0.5261120200157166,6.0,2.8489513649136513
160,10000,20,780616,78.0616,0.5217853784561157,8.0,3.311465929662094
